,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.000468404,0.000210474,0.010954102,neo,NA,NA,NA,NA,NA,NA,NA
2,0.000619857,0.002317302,0.007137156,neo,NA,NA,NA,NA,NA,NA,NA
3,0.00059196,0.001358413,0.009696571,neo,NA,NA,NA,NA,NA,NA,NA
4,0.000633775,0.002108913,0.009312609,neo,NA,NA,NA,NA,NA,NA,NA
5,0.000873055,0.003749985,0.012110554,neo,NA,NA,NA,NA,NA,NA,NA
6,0.000804777,0.002114071,0.005638695,neo,NA,NA,NA,NA,NA,NA,NA
7,0.000520828,0.000527244,0.00282961,neo,NA,NA,NA,NA,NA,NA,NA
8,0.000491282,0.001069405,0.013971672,neo,NA,NA,NA,NA,NA,NA,NA
9,0.000482886,0.001861392,0.008556719,neo,NA,NA,NA,NA,NA,NA,NA
10,0.000430854,0.001565095,0.010418834,neo,NA,NA,NA,NA,NA,NA,NA
11,0.000766083,0.002665974,0.009654454,neo,NA,NA,NA,NA,NA,NA,NA
12,0.000499634,0.000278888,0.009940776,neo,NA,NA,NA,NA,NA,NA,NA
13,0.000723212,0.003625903,0.012018898,neo,NA,NA,NA,NA,NA,NA,NA
14,0.001128072,0.007367731,0.028473632,neo,NA,NA,NA,NA,NA,NA,NA
15,0.000638523,0.002565344,0.008949098,neo,NA,NA,NA,NA,NA,NA,NA
16,0.001032783,0.018115145,0.045503899,neo,NA,NA,NA,NA,NA,NA,NA
17,0.000802122,0.005744793,0.011908557,neo,NA,NA,NA,NA,NA,NA,NA
18,0.001334315,0.008347167,0.025640392,neo,NA,NA,NA,NA,NA,NA,NA
19,0.000780848,0.007740691,0.023721114,neo,NA,NA,NA,NA,NA,NA,NA
20,0.000664069,0.004545895,0.01228108,neo,NA,NA,NA,NA,NA,NA,NA
21,0.000773515,0.004005723,0.015197484,neo,NA,NA,NA,NA,NA,NA,NA
22,0.000563277,0.004097659,0.023175542,neo,NA,NA,NA,NA,NA,NA,NA
23,0.000503367,0.001629946,0.009957145,neo,NA,NA,NA,NA,NA,NA,NA
24,0.001116457,0.00950719,0.025344018,neo,NA,NA,NA,NA,NA,NA,NA
25,0.00102611,0.005722579,0.014238272,neo,NA,NA,NA,NA,NA,NA,NA
26,0.000959188,0.008357674,0.022803853,neo,NA,NA,NA,NA,NA,NA,NA
27,0.000490686,0.004088805,0.01413774,neo,NA,NA,NA,NA,NA,NA,NA
28,0.000609691,0.001637067,0.008425289,neo,NA,NA,NA,NA,NA,NA,NA
29,0.000803489,0.000810251,0.010410055,neo,NA,NA,NA,NA,NA,NA,NA
30,0.000580711,0.000931272,0.018646765,neo,NA,NA,NA,NA,NA,NA,NA
31,0.000439867,0.000642879,0.008260379,neo,NA,NA,NA,NA,NA,NA,NA
32,0.000872389,0.00230904,0.009996276,neo,NA,NA,NA,NA,NA,NA,NA
