,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.014176428,0.008343347,0.021705534,paleo,NA,NA,NA,NA,NA,NA,NA
2,0.012654408,0.024192183,0.035768773,paleo,NA,NA,NA,NA,NA,NA,NA
3,0.019563265,0.012884526,0.046024827,paleo,NA,NA,NA,NA,NA,NA,NA
4,0.022548509,0.012367484,0.019036403,paleo,NA,NA,NA,NA,NA,NA,NA
5,0.030215353,0.009380123,0.027155877,paleo,NA,NA,NA,NA,NA,NA,NA
6,0.033198935,0.007321899,0.010429136,paleo,NA,NA,NA,NA,NA,NA,NA
7,0.026934582,0.011297983,0.024374743,paleo,NA,NA,NA,NA,NA,NA,NA
8,0.031607183,0.029634304,0.051402039,paleo,NA,NA,NA,NA,NA,NA,NA
9,0.034546215,0.020213873,0.049185027,paleo,NA,NA,NA,NA,NA,NA,NA
10,0.021494412,0.005007234,0.016753792,paleo,NA,NA,NA,NA,NA,NA,NA
11,0.018767248,0.007496506,0.015755339,paleo,NA,NA,NA,NA,NA,NA,NA
12,0.014682323,0.030470573,0.049709505,paleo,NA,NA,NA,NA,NA,NA,NA
13,0.029594206,0.021806694,0.035896824,paleo,NA,NA,NA,NA,NA,NA,NA
14,0.020054872,0.007525262,0.026366483,paleo,NA,NA,NA,NA,NA,NA,NA
15,0.021785212,0.052250816,0.092218655,paleo,NA,NA,NA,NA,NA,NA,NA
16,0.017771848,0.045076151,0.084283106,paleo,NA,NA,NA,NA,NA,NA,NA
17,0.016242538,0.016173102,0.031394284,paleo,NA,NA,NA,NA,NA,NA,NA
18,0.012097355,0.000379125,0.002909253,paleo,NA,NA,NA,NA,NA,NA,NA
19,0.007849096,0.004188417,0.022477205,paleo,NA,NA,NA,NA,NA,NA,NA
20,0.023591092,0.061698963,0.111525677,paleo,NA,NA,NA,NA,NA,NA,NA
21,0.006056939,0.011618398,0.018530968,paleo,NA,NA,NA,NA,NA,NA,NA
22,0.024581721,0.058431459,0.100625183,paleo,NA,NA,NA,NA,NA,NA,NA
23,0.020168795,0.040205157,0.078003106,paleo,NA,NA,NA,NA,NA,NA,NA
24,0.016372612,0.046307532,0.066026343,paleo,NA,NA,NA,NA,NA,NA,NA
25,0.023323962,0.128353853,0.229142714,paleo,NA,NA,NA,NA,NA,NA,NA
26,0.028906121,0.034034751,0.099713407,paleo,NA,NA,NA,NA,NA,NA,NA
27,0.014222337,0.008100014,0.015951106,paleo,NA,NA,NA,NA,NA,NA,NA
28,0.004559384,0.011223108,0.021412768,paleo,NA,NA,NA,NA,NA,NA,NA
29,0.016013003,0.01145707,0.034795893,paleo,NA,NA,NA,NA,NA,NA,NA
30,0.013591296,0.006126274,0.014847651,paleo,NA,NA,NA,NA,NA,NA,NA
31,0.005352919,0.00566185,0.01177428,paleo,NA,NA,NA,NA,NA,NA,NA
32,0.011160033,0.003587997,0.013718036,paleo,NA,NA,NA,NA,NA,NA,NA
33,0.014961214,0.00850766,0.023886158,paleo,NA,NA,NA,NA,NA,NA,NA
34,0.015398707,0.020140921,0.138100606,paleo,NA,NA,NA,NA,NA,NA,NA
35,0.021341785,0.015133906,0.058157704,paleo,NA,NA,NA,NA,NA,NA,NA
36,0.018115095,0.01182001,0.024165385,paleo,NA,NA,NA,NA,NA,NA,NA
37,0.015384655,0.006763225,0.057827169,paleo,NA,NA,NA,NA,NA,NA,NA
38,0.013958087,0.005411884,0.083884199,paleo,NA,NA,NA,NA,NA,NA,NA
39,0.010695837,0.021912832,0.033760628,paleo,NA,NA,NA,NA,NA,NA,NA
40,0.017124578,0.051239937,0.103449287,paleo,NA,NA,NA,NA,NA,NA,NA
41,0.01316295,0.0218961,0.031035233,paleo,NA,NA,NA,NA,NA,NA,NA
42,0.014451581,0.01495647,0.05876357,paleo,NA,NA,NA,NA,NA,NA,NA
43,0.010543303,0.100433943,0.146838406,paleo,NA,NA,NA,NA,NA,NA,NA
44,0.010718268,0.009272967,0.095039679,paleo,NA,NA,NA,NA,NA,NA,NA
45,0.017887455,0.044372609,0.074294139,paleo,NA,NA,NA,NA,NA,NA,NA
46,0.01515458,0.035482949,0.122560325,paleo,NA,NA,NA,NA,NA,NA,NA
47,0.021596463,0.020809535,0.046483895,paleo,NA,NA,NA,NA,NA,NA,NA
48,0.018281366,0.032665821,0.080176728,paleo,NA,NA,NA,NA,NA,NA,NA
49,0.020822407,0.032496108,0.0815277,paleo,NA,NA,NA,NA,NA,NA,NA
50,0.018351332,0.02279157,0.055310882,paleo,NA,NA,NA,NA,NA,NA,NA
51,0.013977379,6.66E-05,0.003946493,paleo,NA,NA,NA,NA,NA,NA,NA
52,0.011773661,0.023956668,0.076002622,paleo,NA,NA,NA,NA,NA,NA,NA
53,0.011273026,0.007068255,0.026323616,paleo,NA,NA,NA,NA,NA,NA,NA
54,0.01524709,0.006335705,0.081257968,paleo,NA,NA,NA,NA,NA,NA,NA
55,0.009965084,0.032611369,0.047233751,paleo,NA,NA,NA,NA,NA,NA,NA
56,0.010976597,0.047436625,0.075598344,paleo,NA,NA,NA,NA,NA,NA,NA
57,0.006348354,0.018358701,0.026331436,paleo,NA,NA,NA,NA,NA,NA,NA
58,0.006201881,0.025804674,0.037789334,paleo,NA,NA,NA,NA,NA,NA,NA
59,0.004418817,0.01642598,0.027712523,paleo,NA,NA,NA,NA,NA,NA,NA
60,0.015736576,0.012500639,0.029793123,paleo,NA,NA,NA,NA,NA,NA,NA
61,0.017190615,0.010796244,0.048636034,paleo,NA,NA,NA,NA,NA,NA,NA
62,0.019640452,0.001474795,0.005771645,paleo,NA,NA,NA,NA,NA,NA,NA
63,0.01287408,0.013279974,0.049129508,paleo,NA,NA,NA,NA,NA,NA,NA
64,0.0109433,0.0033842,0.038647788,paleo,NA,NA,NA,NA,NA,NA,NA
65,0.010089821,0.005101981,0.007215467,paleo,NA,NA,NA,NA,NA,NA,NA
66,0.005866931,0.025209667,0.041435091,paleo,NA,NA,NA,NA,NA,NA,NA
67,0.015194586,0.038963183,0.095315836,paleo,NA,NA,NA,NA,NA,NA,NA
68,0.005832652,0.01376521,0.021856981,paleo,NA,NA,NA,NA,NA,NA,NA
69,0.013468645,0.021426164,0.034313707,paleo,NA,NA,NA,NA,NA,NA,NA
70,0.013052635,0.043388277,0.096595818,paleo,NA,NA,NA,NA,NA,NA,NA
71,0.012619034,0.008042268,0.011393823,paleo,NA,NA,NA,NA,NA,NA,NA
72,0.014606215,0.001973921,0.009891844,paleo,NA,NA,NA,NA,NA,NA,NA
73,0.0151094,0.044964231,0.064724598,paleo,NA,NA,NA,NA,NA,NA,NA
74,0.009909907,0.047580385,0.079561546,paleo,NA,NA,NA,NA,NA,NA,NA
