,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.010971358,0.014769923,0.024404581,paleo,NA,NA,NA,NA,NA,NA,NA
2,0.012381902,0.024023064,0.069003279,paleo,NA,NA,NA,NA,NA,NA,NA
3,0.008961493,0.00262332,0.006368672,paleo,NA,NA,NA,NA,NA,NA,NA
4,0.015747874,0.050138891,0.072154266,paleo,NA,NA,NA,NA,NA,NA,NA
5,0.01272161,0.00706971,0.020069926,paleo,NA,NA,NA,NA,NA,NA,NA
6,0.01916218,0.040292919,0.05698476,paleo,NA,NA,NA,NA,NA,NA,NA
7,0.008560125,0.009733869,0.022681405,paleo,NA,NA,NA,NA,NA,NA,NA
8,0.015320171,0.013952555,0.034863227,paleo,NA,NA,NA,NA,NA,NA,NA
9,0.013824597,0.049232387,0.078708244,paleo,NA,NA,NA,NA,NA,NA,NA
10,0.013372915,0.024389702,0.119962683,paleo,NA,NA,NA,NA,NA,NA,NA
11,0.006775421,0.005195102,0.013593792,paleo,NA,NA,NA,NA,NA,NA,NA
12,0.018143258,0.024757831,0.068560167,paleo,NA,NA,NA,NA,NA,NA,NA
13,0.009648651,0.037348041,0.100874389,paleo,NA,NA,NA,NA,NA,NA,NA
14,0.019979111,0.02510059,0.042690692,paleo,NA,NA,NA,NA,NA,NA,NA
15,0.008505081,0.007702194,0.017776603,paleo,NA,NA,NA,NA,NA,NA,NA
16,0.012084824,0.060371775,0.085435979,paleo,NA,NA,NA,NA,NA,NA,NA
17,0.017841131,0.044187661,0.063120146,paleo,NA,NA,NA,NA,NA,NA,NA
18,0.011334107,0.022919728,0.033750416,paleo,NA,NA,NA,NA,NA,NA,NA
19,0.010647264,0.021998813,0.048786599,paleo,NA,NA,NA,NA,NA,NA,NA
20,0.017981032,0.008877593,0.016857401,paleo,NA,NA,NA,NA,NA,NA,NA
21,0.014180093,0.034641009,0.05992758,paleo,NA,NA,NA,NA,NA,NA,NA
22,0.008255652,0.012397265,0.037624545,paleo,NA,NA,NA,NA,NA,NA,NA
23,0.012456704,0.005408575,0.00937006,paleo,NA,NA,NA,NA,NA,NA,NA
24,0.01740185,0.010559706,0.04014297,paleo,NA,NA,NA,NA,NA,NA,NA
25,0.007578527,0.000793105,0.001824896,paleo,NA,NA,NA,NA,NA,NA,NA
26,0.026668815,0.005722387,0.020766366,paleo,NA,NA,NA,NA,NA,NA,NA
27,0.01232007,0.003010252,0.025498207,paleo,NA,NA,NA,NA,NA,NA,NA
28,0.00969388,0.005270246,0.016203616,paleo,NA,NA,NA,NA,NA,NA,NA
29,0.024534056,0.007396789,0.022478572,paleo,NA,NA,NA,NA,NA,NA,NA
30,0.009730324,0.016712375,0.077895819,paleo,NA,NA,NA,NA,NA,NA,NA
31,0.019013628,0.003476697,0.018104648,paleo,NA,NA,NA,NA,NA,NA,NA
32,0.016806424,0.001863017,0.03457861,paleo,NA,NA,NA,NA,NA,NA,NA
33,0.012692911,0.001411078,0.026303208,paleo,NA,NA,NA,NA,NA,NA,NA
34,0.017867201,0.008183827,0.017530208,paleo,NA,NA,NA,NA,NA,NA,NA
35,0.00565533,0.007071576,0.012805787,paleo,NA,NA,NA,NA,NA,NA,NA
36,0.019210633,0.008487019,0.0391928,paleo,NA,NA,NA,NA,NA,NA,NA
