,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.012544937,0.015628756,0.104545282,neo,NA,NA,NA,NA,NA,NA,NA
2,0.06890639,0.110667266,0.228932857,neo,NA,NA,NA,NA,NA,NA,NA
3,0.036455492,0.155917443,0.322642203,neo,NA,NA,NA,NA,NA,NA,NA
4,0.036036439,0.100347722,0.201801859,neo,NA,NA,NA,NA,NA,NA,NA
5,0.038812463,0.023919417,0.156775146,neo,NA,NA,NA,NA,NA,NA,NA
6,0.052567904,0.006838729,0.030179179,neo,NA,NA,NA,NA,NA,NA,NA
7,0.034755821,0.003127339,0.048630715,neo,NA,NA,NA,NA,NA,NA,NA
8,0.021383265,0.091876531,0.167911913,neo,NA,NA,NA,NA,NA,NA,NA
9,0.014511696,0.017883944,0.047949494,neo,NA,NA,NA,NA,NA,NA,NA
10,0.022361866,0.083039614,0.162182005,neo,NA,NA,NA,NA,NA,NA,NA
11,0.040595254,0.051022023,0.097073383,neo,NA,NA,NA,NA,NA,NA,NA
12,0.038695344,0.117153293,0.319759491,neo,NA,NA,NA,NA,NA,NA,NA
13,0.043826903,0.003334258,0.330907893,neo,NA,NA,NA,NA,NA,NA,NA
14,0.052967427,0.055473744,0.104231095,neo,NA,NA,NA,NA,NA,NA,NA
15,0.051965055,0.045862417,0.10884242,neo,NA,NA,NA,NA,NA,NA,NA
16,0.023792494,0.037217208,0.103000824,neo,NA,NA,NA,NA,NA,NA,NA
17,0.029817885,0.079456554,0.219785659,neo,NA,NA,NA,NA,NA,NA,NA
18,0.032748473,0.02011183,0.118796479,neo,NA,NA,NA,NA,NA,NA,NA
19,0.016714734,0.068481481,0.365294182,neo,NA,NA,NA,NA,NA,NA,NA
20,0.056893917,0.033623815,0.295345505,neo,NA,NA,NA,NA,NA,NA,NA
21,0.023758193,0.037424681,0.164259624,neo,NA,NA,NA,NA,NA,NA,NA
22,0.045674334,0.077667357,0.215821731,neo,NA,NA,NA,NA,NA,NA,NA
23,0.041949538,0.038300107,0.103778895,neo,NA,NA,NA,NA,NA,NA,NA
24,0.040360905,0.010368388,0.203199067,neo,NA,NA,NA,NA,NA,NA,NA
25,0.052493418,0.02354326,0.084568819,neo,NA,NA,NA,NA,NA,NA,NA
26,0.045910122,0.054523693,0.288687431,neo,NA,NA,NA,NA,NA,NA,NA
27,0.102958686,0.017012198,0.096638915,neo,NA,NA,NA,NA,NA,NA,NA
28,0.053633145,0.034530102,0.073928411,neo,NA,NA,NA,NA,NA,NA,NA
29,0.092452143,0.050531434,0.191323942,neo,NA,NA,NA,NA,NA,NA,NA
30,0.033917832,0.15205188,0.394456482,neo,NA,NA,NA,NA,NA,NA,NA
31,0.086788001,0.102204218,0.205841289,neo,NA,NA,NA,NA,NA,NA,NA
32,0.045917269,0.054704393,0.119525789,neo,NA,NA,NA,NA,NA,NA,NA
33,0.04507328,0.075036665,0.167733593,neo,NA,NA,NA,NA,NA,NA,NA
34,0.035632906,0.01910824,0.038803951,neo,NA,NA,NA,NA,NA,NA,NA
35,0.034917341,0.070608177,0.161086681,neo,NA,NA,NA,NA,NA,NA,NA
36,0.023017721,0.010189062,0.132391464,neo,NA,NA,NA,NA,NA,NA,NA
37,0.009511027,0.002249515,0.06216375,neo,NA,NA,NA,NA,NA,NA,NA
38,0.049974806,0.018691568,0.055796963,neo,NA,NA,NA,NA,NA,NA,NA
39,0.018805419,0.029723047,0.109460157,neo,NA,NA,NA,NA,NA,NA,NA
40,0.057372821,0.034831546,0.111232914,neo,NA,NA,NA,NA,NA,NA,NA
41,0.012444255,0.004329953,0.056726098,neo,NA,NA,NA,NA,NA,NA,NA
42,0.0978081,0.031996014,0.065757635,neo,NA,NA,NA,NA,NA,NA,NA
43,0.039803197,0.054606753,0.095229478,neo,NA,NA,NA,NA,NA,NA,NA
44,0.05085302,0.056996236,0.099248081,neo,NA,NA,NA,NA,NA,NA,NA
45,0.023049,0.014863817,0.067604818,neo,NA,NA,NA,NA,NA,NA,NA
46,0.025870141,0.007548394,0.046804868,neo,NA,NA,NA,NA,NA,NA,NA
47,0.046870911,0.03803151,0.098398554,neo,NA,NA,NA,NA,NA,NA,NA
48,0.07088174,0.027863209,0.073129026,neo,NA,NA,NA,NA,NA,NA,NA
49,0.014268814,0.012169476,0.037086442,neo,NA,NA,NA,NA,NA,NA,NA
50,0.026093249,0.024052133,0.064825898,neo,NA,NA,NA,NA,NA,NA,NA
51,0.026243771,0.002041385,0.031620037,neo,NA,NA,NA,NA,NA,NA,NA
52,0.05410237,0.053715529,0.116621256,neo,NA,NA,NA,NA,NA,NA,NA
53,0.062050837,0.010010981,0.042575919,neo,NA,NA,NA,NA,NA,NA,NA
54,0.033161718,0.008350319,0.100205124,neo,NA,NA,NA,NA,NA,NA,NA
55,0.050827048,0.097230405,0.185776561,neo,NA,NA,NA,NA,NA,NA,NA
56,0.058707964,0.064518543,0.122211953,neo,NA,NA,NA,NA,NA,NA,NA
