,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,1.082401424,0.116576071,0.198586816,neo,NA,NA,NA,NA,NA,NA,NA
2,1.082401207,0.313246033,0.533680549,neo,NA,NA,NA,NA,NA,NA,NA
3,0.384915609,0.001025229,0.034927867,neo,NA,NA,NA,NA,NA,NA,NA
4,1.055374607,0.046962031,0.073115037,neo,NA,NA,NA,NA,NA,NA,NA
5,0.031040947,0.010957894,0.023227236,neo,NA,NA,NA,NA,NA,NA,NA
6,0.152072439,0.006822018,0.044457729,neo,NA,NA,NA,NA,NA,NA,NA
7,0.428935314,0.002284659,0.053290951,neo,NA,NA,NA,NA,NA,NA,NA
8,1.046284116,0.025521998,0.036829252,neo,NA,NA,NA,NA,NA,NA,NA
9,0.952100521,0.016418766,0.038135245,neo,NA,NA,NA,NA,NA,NA,NA
10,0.960400049,0.014798743,0.023318593,neo,NA,NA,NA,NA,NA,NA,NA
11,0.883536569,0.014188801,0.036821828,neo,NA,NA,NA,NA,NA,NA,NA
12,0.60332012,0.003954097,0.022769896,neo,NA,NA,NA,NA,NA,NA,NA
13,1.132676513,0.013158545,0.019348662,neo,NA,NA,NA,NA,NA,NA,NA
14,1.154768139,0.032670097,0.061869395,neo,NA,NA,NA,NA,NA,NA,NA
15,0.936964507,0.012337264,0.033052662,neo,NA,NA,NA,NA,NA,NA,NA
16,0.970842729,0.0917391,0.184775955,neo,NA,NA,NA,NA,NA,NA,NA
