,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.004358573,0.025032048,0.052097791,neo,NA,NA,NA,NA,NA,NA,NA
2,0.003598821,0.03066392,0.073811436,neo,NA,NA,NA,NA,NA,NA,NA
3,0.003751302,0.022369137,0.050539895,neo,NA,NA,NA,NA,NA,NA,NA
4,0.001904451,0.001188169,0.037614611,neo,NA,NA,NA,NA,NA,NA,NA
5,0.00341379,0.021669572,0.033278811,neo,NA,NA,NA,NA,NA,NA,NA
6,0.00443821,0.041751514,0.059331015,neo,NA,NA,NA,NA,NA,NA,NA
7,0.002981757,0.061729195,0.088405053,neo,NA,NA,NA,NA,NA,NA,NA
8,0.004859591,0.043680168,0.063358866,neo,NA,NA,NA,NA,NA,NA,NA
9,0.004860943,0.024635593,0.036641118,neo,NA,NA,NA,NA,NA,NA,NA
10,0.004426774,0.036981872,0.065541638,neo,NA,NA,NA,NA,NA,NA,NA
11,0.003936623,0.024382631,0.051287052,neo,NA,NA,NA,NA,NA,NA,NA
12,0.003361443,0.019280623,0.030622461,neo,NA,NA,NA,NA,NA,NA,NA
13,0.003478328,0.037563583,0.058622942,neo,NA,NA,NA,NA,NA,NA,NA
14,0.004840596,0.034184338,0.049155215,neo,NA,NA,NA,NA,NA,NA,NA
15,0.002152884,0.020340926,0.036131949,neo,NA,NA,NA,NA,NA,NA,NA
16,0.003974463,0.039905344,0.058670481,neo,NA,NA,NA,NA,NA,NA,NA
17,0.004500492,0.012886144,0.018267262,neo,NA,NA,NA,NA,NA,NA,NA
18,0.004800886,0.028367645,0.040455791,neo,NA,NA,NA,NA,NA,NA,NA
19,0.004866301,0.068024083,0.100290727,neo,NA,NA,NA,NA,NA,NA,NA
20,0.004866845,0.088021897,0.128968499,neo,NA,NA,NA,NA,NA,NA,NA
21,0.004770419,0.062920221,0.089423529,neo,NA,NA,NA,NA,NA,NA,NA
22,0.004712394,0.018667382,0.026436713,neo,NA,NA,NA,NA,NA,NA,NA
23,0.004860284,0.027153394,0.040415952,neo,NA,NA,NA,NA,NA,NA,NA
24,0.004222405,0.049031211,0.07057719,neo,NA,NA,NA,NA,NA,NA,NA
25,0.004835065,0.082011752,0.117738518,neo,NA,NA,NA,NA,NA,NA,NA
26,0.004551568,0.035600558,0.060473055,neo,NA,NA,NA,NA,NA,NA,NA
27,0.004025315,0.007503819,0.015278583,neo,NA,NA,NA,NA,NA,NA,NA
28,0.001603366,0.00266056,0.011183743,neo,NA,NA,NA,NA,NA,NA,NA
29,0.001665011,0.006979323,0.02383692,neo,NA,NA,NA,NA,NA,NA,NA
30,0.004565343,0.023921508,0.040441878,neo,NA,NA,NA,NA,NA,NA,NA
31,0.004401477,0.023813329,0.033898926,neo,NA,NA,NA,NA,NA,NA,NA
32,0.00415806,0.019063621,0.027575729,neo,NA,NA,NA,NA,NA,NA,NA
33,0.004149683,0.016966434,0.024558584,neo,NA,NA,NA,NA,NA,NA,NA
34,0.004793568,0.006595595,0.010224569,neo,NA,NA,NA,NA,NA,NA,NA
35,0.004719136,0.026917693,0.03813115,neo,NA,NA,NA,NA,NA,NA,NA
36,0.00392717,0.051827598,0.076558628,neo,NA,NA,NA,NA,NA,NA,NA
37,0.003654087,0.044589139,0.067952429,neo,NA,NA,NA,NA,NA,NA,NA
38,0.004022069,0.009678865,0.014165958,neo,NA,NA,NA,NA,NA,NA,NA
