,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.004512386,0.004381864,0.007231948,neo,NA,NA,NA,NA,NA,NA,NA
2,0.001486042,0.002187721,0.013224244,neo,NA,NA,NA,NA,NA,NA,NA
3,0.004442312,0.024420688,0.036398271,neo,NA,NA,NA,NA,NA,NA,NA
4,0.002853742,0.035676656,0.061283906,neo,NA,NA,NA,NA,NA,NA,NA
5,0.001617707,0.009636568,0.032170832,neo,NA,NA,NA,NA,NA,NA,NA
6,0.004512155,0.053128469,0.075142534,neo,NA,NA,NA,NA,NA,NA,NA
7,0.003514126,0.040370018,0.061996192,neo,NA,NA,NA,NA,NA,NA,NA
8,0.003431518,0.003242115,0.023179191,neo,NA,NA,NA,NA,NA,NA,NA
9,0.002320927,0.007806216,0.041944789,neo,NA,NA,NA,NA,NA,NA,NA
10,0.00470663,0.039186989,0.059924749,neo,NA,NA,NA,NA,NA,NA,NA
11,0.002573745,0.010909852,0.044849347,neo,NA,NA,NA,NA,NA,NA,NA
12,0.001928707,0.003406048,0.042423755,neo,NA,NA,NA,NA,NA,NA,NA
13,0.004676987,0.029179244,0.045243177,neo,NA,NA,NA,NA,NA,NA,NA
14,0.004702654,0.035218172,0.053961987,neo,NA,NA,NA,NA,NA,NA,NA
15,0.001879587,0.002960903,0.045894967,neo,NA,NA,NA,NA,NA,NA,NA
16,0.004693413,0.014789426,0.022761229,neo,NA,NA,NA,NA,NA,NA,NA
17,0.003649906,0.003945932,0.008809624,neo,NA,NA,NA,NA,NA,NA,NA
18,0.002137747,0.000471845,0.003366519,neo,NA,NA,NA,NA,NA,NA,NA
19,0.004135118,0.010367961,0.019423903,neo,NA,NA,NA,NA,NA,NA,NA
20,0.004694865,0.042182931,0.064876064,neo,NA,NA,NA,NA,NA,NA,NA
21,0.004722194,0.053219815,0.076213044,neo,NA,NA,NA,NA,NA,NA,NA
22,0.004741533,0.029001945,0.043449528,neo,NA,NA,NA,NA,NA,NA,NA
23,0.004724183,0.046904644,0.071057333,neo,NA,NA,NA,NA,NA,NA,NA
24,0.002961246,0.029145635,0.048974159,neo,NA,NA,NA,NA,NA,NA,NA
25,0.002129552,0.013393777,0.028596461,neo,NA,NA,NA,NA,NA,NA,NA
26,0.004281754,0.054829244,0.078177389,neo,NA,NA,NA,NA,NA,NA,NA
27,0.00387838,0.009428685,0.013879506,neo,NA,NA,NA,NA,NA,NA,NA
28,0.004679999,0.010078282,0.014336546,neo,NA,NA,NA,NA,NA,NA,NA
29,0.002171045,0.005179953,0.034793485,neo,NA,NA,NA,NA,NA,NA,NA
30,0.004027886,0.028889415,0.056141457,neo,NA,NA,NA,NA,NA,NA,NA
31,0.00313718,0.006198557,0.017444558,neo,NA,NA,NA,NA,NA,NA,NA
32,0.004465216,0.010153222,0.014370454,neo,NA,NA,NA,NA,NA,NA,NA
33,0.004319568,0.026901067,0.038279901,neo,NA,NA,NA,NA,NA,NA,NA
34,0.004753867,0.029634658,0.042995452,neo,NA,NA,NA,NA,NA,NA,NA
35,0.00475497,0.01810555,0.026783502,neo,NA,NA,NA,NA,NA,NA,NA
36,0.004679816,0.015657572,0.02227275,neo,NA,NA,NA,NA,NA,NA,NA
37,0.004698711,0.019723012,0.030277893,neo,NA,NA,NA,NA,NA,NA,NA
38,0.004702988,0.028279337,0.043323044,neo,NA,NA,NA,NA,NA,NA,NA
