,V1,V2,V3,V4,V5,V6,V7,V8,V9,V10,V11
1,0.000306618,0.004243332,0.015568947,paleo,NA,NA,NA,NA,NA,NA,NA
2,0.002411476,0.012486,0.017761224,paleo,NA,NA,NA,NA,NA,NA,NA
3,0.00258476,0.024740037,0.03732783,paleo,NA,NA,NA,NA,NA,NA,NA
4,0.002169588,0.037665332,0.053931707,paleo,NA,NA,NA,NA,NA,NA,NA
5,0.0017608,0.026173037,0.038268206,paleo,NA,NA,NA,NA,NA,NA,NA
6,0.00164432,0.012113417,0.028593968,paleo,NA,NA,NA,NA,NA,NA,NA
7,0.002467948,0.011850816,0.020593129,paleo,NA,NA,NA,NA,NA,NA,NA
8,0.000745059,0.006692511,0.012674118,paleo,NA,NA,NA,NA,NA,NA,NA
9,0.000709011,0.007106762,0.013710337,paleo,NA,NA,NA,NA,NA,NA,NA
10,0.000301233,0.003407691,0.014575922,paleo,NA,NA,NA,NA,NA,NA,NA
11,0.002534548,0.014731103,0.021430017,paleo,NA,NA,NA,NA,NA,NA,NA
12,0.002011705,0.012244494,0.028419159,paleo,NA,NA,NA,NA,NA,NA,NA
13,0.00235966,0.005240029,0.009777577,paleo,NA,NA,NA,NA,NA,NA,NA
14,0.002553004,0.005194689,0.007592806,paleo,NA,NA,NA,NA,NA,NA,NA
15,0.002529206,0.011624362,0.02195236,paleo,NA,NA,NA,NA,NA,NA,NA
16,0.000852031,0.000687564,0.008007064,paleo,NA,NA,NA,NA,NA,NA,NA
17,0.002495361,0.015640524,0.022512069,paleo,NA,NA,NA,NA,NA,NA,NA
18,0.000345617,0.004252624,0.012091748,paleo,NA,NA,NA,NA,NA,NA,NA
19,0.001465289,0.022446602,0.035038265,paleo,NA,NA,NA,NA,NA,NA,NA
20,0.002036488,0.019602024,0.044765388,paleo,NA,NA,NA,NA,NA,NA,NA
